t,lx,ly,rx,ry,px,py,pz,qx,qy,qz,qw
1.484000,-0.020419,-0.004769,-0.034126,0.025934,-0.006507,-0.006023,0.006998,-0.024049,0.011543,-0.012425,-0.999567
1.492000,-0.020419,-0.004769,-0.034126,0.025934,-0.006505,-0.006017,0.006991,-0.024024,0.011526,-0.012434,-0.999568
1.500000,-0.020463,-0.004876,-0.034172,0.025824,-0.006495,-0.006024,0.006999,-0.024053,0.011507,-0.012416,-0.999567
1.509000,-0.020463,-0.004876,-0.034172,0.025824,-0.006489,-0.006024,0.007000,-0.024054,0.011489,-0.012409,-0.999568
1.517000,-0.020538,-0.004824,-0.034251,0.025876,-0.006474,-0.006021,0.006996,-0.024041,0.011464,-0.012381,-0.999569
1.525000,-0.020582,-0.004794,-0.034300,0.025870,-0.006468,-0.006031,0.007008,-0.024082,0.011439,-0.012381,-0.999568
1.534000,-0.020666,-0.004689,-0.034379,0.025993,-0.006435,-0.006030,0.007009,-0.024081,0.011404,-0.012299,-0.999569
1.542000,-0.020711,-0.004670,-0.034419,0.026011,-0.006405,-0.006033,0.007014,-0.024098,0.011387,-0.012212,-0.999570
1.550000,-0.020756,-0.004497,-0.034449,0.026125,-0.006387,-0.006051,0.007035,-0.024170,0.011361,-0.012169,-0.999569
1.559000,-0.020842,-0.004216,-0.034517,0.026252,-0.006378,-0.006058,0.007044,-0.024199,0.011325,-0.012169,-0.999569
1.567000,-0.021025,-0.003474,-0.034556,0.026388,-0.006370,-0.006077,0.007066,-0.024273,0.011295,-0.012169,-0.999568
1.575000,-0.021178,-0.003025,-0.034633,0.026659,-0.006354,-0.006088,0.007079,-0.024319,0.011257,-0.012146,-0.999567
1.584000,-0.021342,-0.002577,-0.034664,0.026858,-0.006356,-0.006104,0.007097,-0.024379,0.011214,-0.012190,-0.999566
1.592000,-0.021812,-0.001203,-0.034749,0.027049,-0.006333,-0.006109,0.007104,-0.024401,0.011182,-0.012137,-0.999566
1.600000,-0.021966,-0.000792,-0.034766,0.027235,-0.006283,-0.006114,0.007112,-0.024428,0.011159,-0.011989,-0.999567
1.609000,-0.022112,-0.000482,-0.034792,0.027377,-0.006238,-0.006118,0.007119,-0.024449,0.011142,-0.011849,-0.999569
1.617000,-0.022223,-0.000170,-0.034796,0.027531,-0.006195,-0.006122,0.007125,-0.024468,0.011131,-0.011712,-0.999570
1.625000,-0.022394,0.000268,-0.034807,0.027656,-0.006163,-0.006116,0.007120,-0.024450,0.011131,-0.011604,-0.999572
1.634000,-0.022494,0.000503,-0.034788,0.027754,-0.006137,-0.006106,0.007110,-0.024414,0.011143,-0.011502,-0.999574
1.642000,-0.022561,0.000706,-0.034737,0.027823,-0.006121,-0.006110,0.007115,-0.024432,0.011161,-0.011433,-0.999574
1.650000,-0.022620,0.000925,-0.034713,0.028052,-0.006095,-0.006124,0.007133,-0.024492,0.011194,-0.011318,-0.999573
1.659000,-0.022578,0.001313,-0.034579,0.028543,-0.006088,-0.006138,0.007148,-0.024548,0.011231,-0.011262,-0.999572
1.667000,-0.022578,0.001313,-0.034579,0.028543,-0.006093,-0.006165,0.007179,-0.024654,0.011274,-0.011244,-0.999569
1.676000,-0.022473,0.001679,-0.034428,0.028970,-0.006110,-0.006188,0.007204,-0.024744,0.011324,-0.011259,-0.999566
1.684000,-0.022473,0.001679,-0.034428,0.028970,-0.006118,-0.006219,0.007239,-0.024866,0.011364,-0.011253,-0.999563
1.692000,-0.022296,0.002206,-0.034231,0.029630,-0.006150,-0.006245,0.007267,-0.024965,0.011408,-0.011326,-0.999559
1.701000,-0.022296,0.002206,-0.034231,0.029630,-0.006191,-0.006280,0.007304,-0.025096,0.011449,-0.011427,-0.999554
